DATE,MNO W,MNO X,MNO Y,MNO Z,,,
2/18/2019,99.210,98.890,97.230,98.890,,,
2/19/2019,99.230,99.670,97.560,99.230,,,
2/20/2019,98.560,99.230,98.870,99.230,,,
2/21/2019,98.980,98.560,97.850,98.980,,,
2/22/2019,99.080,99.000,97.450,99.260,,,
2/23/2019,98.450,98.870,98.980,98.780,,,
2/24/2019,98.670,99.230,97.320,99.320,,,
2/25/2019,98.000,99.120,99.080,98.670,,,
2/26/2019,92.300,99.000,98.540,97.780,,,
2/27/2019,98.680,98.120,97.980,98.670,,,
2/28/2019,99.430,98.700,98.320,99.320,,,
3/1/2019,98.880,99.020,98.120,99.040,,,
3/2/2019,98.230,99.070,98.650,99.080,,,
3/3/2019,97.860,98.890,97.450,98.650,,,
3/4/2019,98.440,98.980,98.780,99.430,,,
3/5/2019,98.660,98.560,96.560,98.890,,,
3/6/2019,99.040,98.650,98.120,99.650,,,
3/7/2019,96.790,98.870,98.080,98.780,,,
3/8/2019,97.640,99.230,93.870,99.650,,,
3/9/2019,98.980,99.300,95.430,98.890,,,
3/10/2019,99.080,99.090,98.540,99.420,,,
3/11/2019,99.210,98.840,95.340,98.780,,,
3/12/2019,98.430,98.870,97.320,98.980,,,
3/13/2019,98.780,99.230,98.870,99.210,,,
3/14/2019,98.820,99.340,98.320,99.080,,,
3/15/2019,98.540,98.560,95.600,98.960,,,
3/16/2019,98.560,97.560,97.560,98.750,,,
3/17/2019,98.780,99.000,98.450,99.020,,,
3/18/2019,99.210,98.780,98.450,99.100,,,
3/19/2019,99.240,98.000,97.450,98.540,,,
3/20/2019,98.450,99.660,98.450,99.210,,,
3/21/2019,98.440,99.230,97.650,99.210,,,
3/22/2019,99.340,98.780,95.670,98.560,,,
3/23/2019,98.460,98.800,96.870,98.880,,,
3/24/2019,98.780,99.230,97.450,99.020,,,
3/25/2019,98.980,99.300,95.320,99.280,,,
3/26/2019,97.890,99.090,98.540,97.870,,,
3/27/2019,98.480,98.840,98.450,97.980,,,
3/28/2019,98.560,98.870,98.450,99.090,,,
3/29/2019,97.880,99.230,98.870,98.760,,,
3/30/2019,98.040,99.340,96.780,98.320,,,
3/31/2019,97.980,99.000,97.560,97.290,,,
4/1/2019,97.860,99.120,97.780,98.340,,,
4/2/2019,98.080,99.000,98.670,98.420,,,
4/3/2019,98.340,99.890,98.670,98.650,,,
4/4/2019,97.880,99.000,98.560,98.320,,,
4/5/2019,97.980,98.560,99.090,98.670,,,
4/6/2019,97.770,98.650,98.870,99.110,,,
4/7/2019,96.760,99.000,98.090,99.200,,,
4/8/2019,98.220,99.320,98.560,98.860,,,
4/9/2019,98.980,99.000,97.560,98.430,,,
4/10/2019,98.980,98.000,98.670,98.560,,,
4/11/2019,99.220,98.670,98.560,99.120,,,
4/12/2019,99.240,97.780,97.560,99.100,,,
4/13/2019,98.860,98.780,97.890,98.320,,,
4/14/2019,98.980,98.890,99.050,98.320,,,
4/15/2019,99.080,98.450,99.120,97.780,,,
4/16/2019,98.670,98.340,98.560,98.760,,,
4/17/2019,98.880,98.780,98.560,98.540,,,
4/18/2019,99.120,99.320,98.980,97.780,,,
4/19/2019,99.060,99.430,98.120,99.230,,,
4/20/2019,98.860,99.230,98.210,98.670,,,
4/21/2019,99.020,99.000,98.720,98.120,,,
4/22/2019,99.080,99.230,99.300,98.780,,,
4/23/2019,98.780,99.320,98.540,99.320,,,
4/24/2019,97.880,98.650,97.360,99.160,,,
4/25/2019,98.980,98.540,96.730,98.680,,,
4/26/2019,95.580,97.870,98.560,98.560,,,
4/27/2019,97.880,99.320,98.450,97.870,,,
4/28/2019,97.780,98.670,98.450,99.060,,,
4/29/2019,98.440,99.110,97.250,99.020,,,
4/30/2019,96.680,99.180,97.450,98.670,,,
5/1/2019,97.760,98.780,98.560,98.560,,,
5/2/2019,95.540,98.030,97.760,99.320,,,
5/3/2019,97.680,98.760,98.600,98.860,,,
5/4/2019,98.220,98.450,97.980,98.760,,,
5/5/2019,98.980,98.560,98.560,97.790,,,
5/6/2019,98.340,98.760,97.560,98.980,,,
5/7/2019,96.780,97.890,98.650,99.210,,,
5/8/2019,98.580,97.870,98.670,99.160,,,
5/9/2019,99.180,97.780,98.670,99.430,,,
5/10/2019,99.220,99.320,98.450,98.340,,,
5/11/2019,98.440,97.230,97.930,98.780,,,
5/12/2019,99.320,97.880,97.660,98.670,,,
5/13/2019,97.220,99.020,98.540,99.540,,,
5/14/2019,98.680,99.000,89.980,98.560,,,
5/15/2019,98.990,99.000,98.560,99.220,,,
5/16/2019,99.200,99.120,98.780,98.780,,,
5/17/2019,97.760,98.450,98.240,99.340,,,
5/18/2019,99.100,98.340,98.450,98.560,,,
5/19/2019,99.020,98.760,97.670,99.140,,,
5/20/2019,98.440,98.670,97.240,98.560,,,
5/21/2019,98.320,99.323,97.450,98.890,,,
5/22/2019,97.540,99.230,95.560,97.320,,,
5/23/2019,98.440,99.220,95.450,98.450,,,
5/24/2019,97.220,97.890,95.450,98.870,,,
5/25/2019,98.240,98.890,96.890,99.030,,,
5/26/2019,97.780,99.040,97.450,99.230,,,
5/27/2019,98.890,97.450,98.120,99.100,,,
5/28/2019,97.650,99.220,97.870,98.780,,,
5/29/2019,97.540,99.230,97.980,98.650,,,
5/30/2019,96.640,98.780,98.040,98.430,,,
5/31/2019,96.940,99.340,97.560,98.320,,,
6/1/2019,97.970,99.230,93.650,99.250,,,
6/2/2019,96.680,99.120,87.760,97.980,,,
6/3/2019,98.540,99.230,89.080,98.870,,,
6/4/2019,95.680,98.320,89.060,98.670,,,
6/5/2019,98.040,98.780,92.340,98.650,,,
6/6/2019,95.550,99.230,96.760,99.120,,,
6/7/2019,97.680,99.210,96.340,98.860,,,
6/8/2019,94.980,99.120,97.670,97.870,,,
6/9/2019,95.980,98.890,97.880,98.640,,,
6/10/2019,98.540,99.060,97.340,98.860,,,
6/11/2019,98.210,98.980,98.860,98.640,,,
6/12/2019,97.880,99.080,98.920,98.560,,,
6/13/2019,97.870,99.120,96.560,98.430,,,
6/14/2019,97.980,98.980,98.560,98.440,,,
6/15/2019,98.460,98.670,96.760,98.420,,,
6/16/2019,98.020,98.670,97.120,98.870,,,
6/17/2019,98.650,99.070,98.080,99.210,,,
